compañero/a de clase	classmate
compañero/a de cuarto	roommate
estudiante	student
profesor(a)	teacher
borrador	eraser
escritorio	desk
libro	book
mapa	map
mesa	table
mochila	backpack
papel	paper
papelera	wastebasket
pizarra	blackboard
pluma	pen
puerta	door
reloj	clock; watch
silla	seat
tiza	chalk
ventana	window
biblioteca	library
cafeteria	cafeteria
casa	house
estadio	stadium
laboratorio	laboratory
librería	bookstore
residencia estudiantil	dormitory
universidad	university; college
clase	class
curso	course
materia	subject
especialización	major
examen	test; exam
horario	schedule
prueba	test; quiz
semestre	semester
tarea	homework
trimestre	trimester, quarter
administración	business administration
arte	art
biología	biology
ciencias	sciences
computación	computer science
contabilidad	accounting
economía	economics
español	Spanish
física	physics
geografía	geography
historia	history
humanidades	humanities
inglés	English
lenguas extranjeras	foreign languages
literatura	literature
matemáticas	mathematics
música	music
periodismo	journalism
psicología	psychology
química	chemistry
sociología	sociology
bailar	to dance
buscar	to look for
caminar	to walk
cantar	to sing
cenar	to have dinner
comprar	to buy
contestar	to answer
conversar	to converse, to chat
desayunar	to have breakfast
descansar	to rest
desear	to wish; to desire
dibujar	to draw
enseñar	to teach
escuchar la radio/música	to listen (to) the radio/music
esperar (+ inf.)	to wait (for); to hope
estar	to be
estudiar	to study
explicar	to explain
gustar	to like
hablar	to talk; to speak
llegar	to arrive
llevar	to carry
mirar	to look (at); to watch
necesitar (+ inf.)	to need
practicar	to practice
preguntar	to ask (a question)
preparar	to prepare
regresar	to return
terminar	to end; to finish
tomar	to take; to drink
trabajar	to work
viajar	to travel
"yo" verb conjugation	-o
"tú" verb conjugation	-as
"él", "ella", "usted" verb conjugation	-a
"nosotros/as" verb conjugation	-amos
"vosotros/as" verb conjugation	-ais
"ellos", "ellas", "ustedes" verb conjugation	-an
Maria y yo (caminar)	caminamos
mi amigo (bailar)	baila
tú (desayunar)	desayunas
Pepe y Maria y yo (conversar) (Spain)	conversais
Andres y Miguel (viajar)	viajan
yo (terminar)	termino
